Quintile,16-17,17-18,18-19
Quintile 1 (most disadvantaged),113123,113542,116261
Quintile 2,93118,99183,101536
Quintile 3,81627,89164,92175
Quintile 4,67023,73062,75689
Quintile 5 (least disadvantaged),50131,59590,60608
